cycle,time 3.9v,time 4.0v,time 4.1v,time 4.2v,time end,SoH,cell
33,508.39,1318.828,2120.859,2731.984,7745.218999999999,0.8384885309216843,B0018
34,498.187,1300.937,2099.468,2705.406,7793.1869999999935,0.8327614653239468,B0018
35,310.688,1135.953,1989.5,2653.625,8063.375,0.8285962287916042,B0018
36,478.61,1253.36,2039.735,2651.797,7932.968999999999,0.8241120777647024,B0018
37,468.36,1226.844,2014.219,2625.25,7900.391,0.8193850748993631,B0018
38,447.703,1192.391,1975.563,2587.297,8056.8279999999995,0.8138243453631031,B0018
39,452.219,1196.187,1975.203,2581.5,7871.016,0.81107685113626,B0018
40,200.125,920.547,1847.953,2523.64,8286.813,0.8070033255233793,B0018
41,524.765,1317.156,2121.265,2715.359,7766.2029999999995,0.8380258077212311,B0018
42,484.281,1257.61,2049.688,2639.688,7783.530999999997,0.8246503212760995,B0018
43,467.203,1213.875,2001.016,2594.235,7880.858999999999,0.816191495929045,B0018
44,449.063,1174.484,1956.25,2550.188,8039.171,0.8082079859512888,B0018
45,248.329,981.313,1823.547,2473.532,8308.218,0.8054514189124689,B0018
48,662.438,1550.547,2361.016,2984.032,7200.906,0.8582836958714877,B0018
49,625.265,1495.125,2301.265,2916.1560000000027,7314.108999999997,0.8479117785467424,B0018
50,586.984,1432.875,2236.281,2843.5,7370.375,0.8388891595396278,B0018
51,555.281,1381.859,2178.953,2791.0,7520.718000000001,0.8303293448887096,B0018
52,320.297,1160.734,2049.297,2703.125,7645.484,0.8332054637413733,B0018
53,540.0,1369.281,2152.281,2762.515,7558.5470000000005,0.8234168087203902,B0018
54,523.766,1327.719,2115.828,2716.969,6476.3589999999995,0.8128819964389976,B0018
55,489.843,1268.547,2054.187,2654.531,6527.969,0.8060788705937297,B0018
56,479.406,1246.828,2024.406,2626.89,7727.5470000000005,0.8028683411877672,B0018
57,228.187,991.094,1869.75,2530.719,7989.297,0.8368226574399446,B0018
59,548.375,1353.703,2141.219,2750.812,7390.094000000001,0.8066326658711038,B0018
60,509.453,1287.938,2073.985,2669.703,7475.2970000000005,0.7960482162343139,B0018
61,484.859,1244.047,2017.547,2615.906,7663.547,0.7933005910349412,B0018
62,466.844,1201.406,1970.469,2568.609,7756.984999999999,0.7900383245168127,B0018
63,257.296,1006.281,1834.656,2477.796,8172.438,0.7820866476644583,B0018
64,433.156,1136.937,1897.094,2497.156,7835.781,0.777809136096961,B0018
65,430.453,1121.172,1873.265,2468.515,7908.891000000001,0.7701022639318699,B0018
66,409.25,1085.5,1836.25,2434.703,7914.078000000003,0.7660806507979931,B0018
67,403.156,1069.969,1815.453,2412.141,7984.734,0.7658116201846707,B0018
68,205.078,874.562,1684.641,2325.281,8471.641,0.7611297975385989,B0018
69,390.703,1039.563,1770.297,2365.891,7962.265000000001,0.7532633563425641,B0018
70,372.891,1007.375,1734.078,2324.938,8160.187,0.7507109778266463,B0018
71,371.157,994.157,1719.282,2312.719,7952.844,0.7481767058743228,B0018
72,366.297,985.125,1695.625,2288.484,8098.593999999994,0.7667131000156211,B0018
73,127.5,683.641,1511.5,2175.141,8503.390000000001,0.761922633757213,B0018
74,403.922,1052.656,1781.969,2371.391,8011.875,0.7505960497130619,B0018
75,385.359,1017.109,1737.875,2322.265,8052.577999999994,0.7462088357251455,B0018
76,378.078,1000.64,1709.344,2296.437,8109.266,0.7416619259700615,B0018
77,360.703,966.812,1673.281,2258.765,8081.75,0.7403688396147098,B0018
78,167.453,753.219,1532.688,2153.625,8561.609,0.7367538904951239,B0018
79,354.562,942.812,1637.609,2220.297,8176.343999999999,0.734009642633305,B0018
80,341.563,923.484,1613.031,2189.391,8223.234,0.7290461778559509,B0018
81,348.625,926.828,1608.109,2181.593,8211.907,0.7239330494445699,B0018
82,336.609,904.5,1582.969,2152.812,8248.625,0.7263904388770991,B0018
83,146.329,680.563,1432.094,2052.782,8757.218,0.7212678182246216,B0018
84,328.218,873.968,1544.109,2114.328,8314.109,0.7196356438601657,B0018
85,315.297,859.407,1524.672,2095.766,8323.328,0.7143237840944109,B0018
86,316.531,857.828,1520.844,2083.938,8269.015,0.7124513375002448,B0018
87,318.297,852.25,1513.61,2073.922,8222.844,0.7349057662262062,B0018
88,79.719,486.344,1265.937,1896.64,8392.797,0.7262909825525101,B0018
89,359.578,932.328,1612.515,2184.922,8186.984,0.721417099454397,B0018
90,345.375,905.359,1572.7189999999973,2132.0939999999973,8105.062000000005,0.7141880294039745,B0018
91,325.25,863.969,1527.812,2083.297,8283.125,0.7077273922185358,B0018
92,321.687,851.859,1509.219,2063.062,8324.641,0.727288335038854,B0018
93,81.672,476.141,1242.063,1862.891,8945.687,0.7141589774137028,B0018
94,336.265,884.453,1547.14,2104.922,8248.984,0.7098513441602029,B0018
95,326.406,860.234,1519.828,2073.813,8252.453,0.7077803315153258,B0018
96,317.703,842.985,1501.813,2043.875,8285.922,0.702840017709614,B0018
97,317.969,837.547,1479.922,2029.485,8196.092999999999,0.7042230535583068,B0018
98,130.093,606.0,1325.14,1914.937,8640.234,0.6984273891436207,B0018
99,309.14,821.297,1463.469,2005.484,8313.5,0.6967835185720338,B0018
100,301.406,808.453,1440.5,1977.25,8265.359,0.6946822146404737,B0018
101,292.141,789.547,1419.485,1953.235,8194.89,0.6892825707833357,B0018
102,286.031,784.391,1404.016,1939.922,8393.765,0.6924505550428735,B0018
103,121.328,555.235,1251.656,1833.156,8668.094000000001,0.6851625907121222,B0018
104,283.031,770.672,1391.016,1924.781,8392.454000000002,0.6866732192614541,B0018
105,284.562,767.094,1382.703,1910.734,8296.125,0.6839743642752407,B0018
106,278.797,757.5,1371.5,1896.859,8276.844,0.6783570543544823,B0018
107,275.407,749.485,1358.485,1881.141,8197.266000000007,0.7302155104597288,B0018
108,57.61,397.688,1165.031,1776.547,8877.171999999999,0.7250499468552049,B0018
109,362.437,921.39,1605.5,2165.562,8252.703,0.7190703450912248,B0018
110,357.328,912.969,1586.985,2142.031,7952.954000000001,0.7141840990482158,B0018
111,347.64,899.468,1563.531,2109.062,8001.046999999997,0.7073937258776216,B0018
112,337.031,871.703,1533.047,2075.016,8030.156000000001,0.706944581696591,B0018
113,145.937,630.968,1366.047,1943.375,8523.39,0.6994665831088612,B0018
114,316.297,838.172,1481.688,2017.594,8165.531,0.6976661292016988,B0018
115,311.015,822.187,1467.015,1997.25,8026.0779999999995,0.6950230647701225,B0018
116,317.985,830.969,1470.563,1994.719,7979.781,0.6930135727104824,B0018
117,319.547,834.188,1462.875,1988.281,8074.687999999999,0.6941076300968755,B0018
118,129.609,586.781,1294.187,1861.781,8947.671999999999,0.6880913281197248,B0018
119,304.703,798.469,1428.75,1948.375,8553.141,0.6823584449320083,B0018
120,286.203,768.688,1394.031,1908.188,8555.593,0.6794927369686792,B0018
121,287.766,759.547,1374.985,1891.922,8448.405999999999,0.6731154382004401,B0018
122,283.36,751.844,1358.172,1872.797,8203.328,0.7134213909227322,B0018
123,61.329,372.079,1111.25,1712.032,9103.343,0.7032240741639831,B0018
124,335.656,859.188,1516.235,2060.219,8195.703000000001,0.6967453746037576,B0018
125,324.625,838.375,1492.125,2032.235,8141.343,0.6941246756124658,B0018
126,319.703,835.875,1472.578,2002.172,8014.5779999999995,0.6850939169210464,B0018
127,307.047,804.438,1442.156,1965.328,8084.938,0.6898475832804309,B0018
128,128.86,572.922,1278.844,1842.235,8791.046999999999,0.6843293161967842,B0018
129,297.234,783.812,1409.844,1928.031,8169.812999999999,0.6813685889548219,B0018
130,305.579,787.985,1411.954,1933.907,8149.1089999999995,0.6817025566964037,B0018
131,299.391,790.625,1417.813,1928.922,8161.891,0.6759323017652616,B0018
132,286.593,779.531,1394.828,1907.25,8023.014999999999,0.6773984864826311,B0018
133,124.09299999999999,543.593,1237.25,1786.515,8653.657000000001,0.6705257203202425,B0018
